Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
26/08/2024,Verona,Juventus,0,3,A,7,7,1,5,5.25,3.75,1.67,2024-25,Serie A,I1
30/08/2024,Venezia,Torino,0,1,A,13,12,4,6,3.4,3.3,2.2,2024-25,Serie A,I1
30/08/2024,Inter,Atalanta,4,0,H,13,11,5,1,1.57,4.33,5.5,2024-25,Serie A,I1
31/08/2024,Bologna,Empoli,1,1,D,14,4,3,2,1.62,3.75,6.0,2024-25,Serie A,I1
31/08/2024,Lecce,Cagliari,1,0,H,17,21,4,2,2.25,3.2,3.4,2024-25,Serie A,I1
31/08/2024,Lazio,Milan,2,2,D,7,10,5,4,2.9,3.4,2.4,2024-25,Serie A,I1
31/08/2024,Napoli,Parma,2,1,H,29,13,7,2,1.48,4.33,7.0,2024-25,Serie A,I1
01/09/2024,Fiorentina,Monza,2,2,D,15,4,5,3,1.67,3.9,5.0,2024-25,Serie A,I1
01/09/2024,Genoa,Verona,0,2,A,11,10,1,3,2.0,3.3,4.0,2024-25,Serie A,I1
01/09/2024,Juventus,Roma,0,0,D,8,7,1,1,1.75,3.6,5.0,2024-25,Serie A,I1
01/09/2024,Udinese,Como,1,0,H,10,21,3,4,2.05,3.4,3.75,2024-25,Serie A,I1
14/09/2024,Como,Bologna,2,2,D,14,14,4,4,3.0,3.25,2.45,2024-25,Serie A,I1
14/09/2024,Empoli,Juventus,0,0,D,8,15,3,3,5.25,3.6,1.7,2024-25,Serie A,I1
14/09/2024,Milan,Venezia,4,0,H,12,6,8,1,1.3,5.75,9.0,2024-25,Serie A,I1
15/09/2024,Genoa,Roma,1,1,D,20,16,8,6,3.25,3.3,2.25,2024-25,Serie A,I1
15/09/2024,Atalanta,Fiorentina,3,2,H,13,13,7,5,1.8,3.6,4.5,2024-25,Serie A,I1
15/09/2024,Torino,Lecce,0,0,D,5,20,0,6,1.8,3.5,4.75,2024-25,Serie A,I1
15/09/2024,Cagliari,Napoli,0,4,A,16,12,3,5,4.33,3.75,1.8,2024-25,Serie A,I1
15/09/2024,Monza,Inter,1,1,D,5,16,2,2,8.0,4.75,1.4,2024-25,Serie A,I1
16/09/2024,Parma,Udinese,2,3,A,9,18,3,6,2.25,3.4,3.2,2024-25,Serie A,I1
16/09/2024,Lazio,Verona,2,1,H,14,7,7,2,1.62,3.8,6.0,2024-25,Serie A,I1
