Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
06/10/2024,Strasbourg,Lens,2,2,D,8,12,5,5,3.0,3.3,2.4,2024-25,Ligue 1,F1
06/10/2024,Nice,Paris SG,1,1,D,9,19,3,9,4.75,4.0,1.7,2024-25,Ligue 1,F1
18/10/2024,Monaco,Lille,0,0,D,14,3,4,1,1.91,3.6,3.8,2024-25,Ligue 1,F1
19/10/2024,Brest,Rennes,1,1,D,12,6,2,4,2.9,3.25,2.5,2024-25,Ligue 1,F1
19/10/2024,St Etienne,Lens,0,2,A,15,13,1,5,5.25,3.75,1.67,2024-25,Ligue 1,F1
19/10/2024,Paris SG,Strasbourg,4,2,H,18,16,10,8,1.27,5.75,10.0,2024-25,Ligue 1,F1
20/10/2024,Le Havre,Lyon,0,4,A,7,16,1,8,3.75,3.5,2.0,2024-25,Ligue 1,F1
20/10/2024,Auxerre,Reims,2,1,H,10,15,8,3,2.63,3.4,2.6,2024-25,Ligue 1,F1
20/10/2024,Nantes,Nice,1,1,D,11,13,7,7,3.25,3.1,2.38,2024-25,Ligue 1,F1
20/10/2024,Toulouse,Angers,1,1,D,18,8,6,4,1.57,3.75,6.5,2024-25,Ligue 1,F1
20/10/2024,Montpellier,Marseille,0,5,A,13,21,5,10,4.33,4.0,1.73,2024-25,Ligue 1,F1
25/10/2024,Rennes,Le Havre,1,0,H,20,5,4,1,1.45,4.0,7.5,2024-25,Ligue 1,F1
26/10/2024,Angers,St Etienne,4,2,H,13,19,8,7,2.45,3.3,2.9,2024-25,Ligue 1,F1
26/10/2024,Reims,Brest,1,2,A,11,13,3,4,2.15,3.5,3.25,2024-25,Ligue 1,F1
26/10/2024,Lens,Lille,0,2,A,11,11,4,3,2.3,3.4,3.1,2024-25,Ligue 1,F1
27/10/2024,Lyon,Auxerre,2,2,D,12,17,8,4,1.48,5.0,5.5,2024-25,Ligue 1,F1
